PlotID;Treatment;Period;Total_Abundance;Total_Biomass;Polychaeta_Biomass
Q1;Cultivated;P1;241;153.5;44.5
Q1;Cultivated;P1;177;152.1;46.2
Q1;Cultivated;P1;160;455.7;28.6
Q2;Control;P1;164;101.9;49.1
Q2;Control;P1;167;79.2;39.4
Q2;Control;P1;124;65.7;21.6
Q3;Cultivated;P1;270;72.7;29.6
Q3;Cultivated;P1;276;95.9;21.2
Q3;Cultivated;P1;241;80;60.1
Q4;Control;P1;215;124.7;56
Q4;Control;P1;158;69.4;39.9
Q4;Control;P1;172;61.4;42.2
Q5;Cultivated;P1;251;159.7;62.4
Q5;Cultivated;P1;136;53.4;35.7
Q5;Cultivated;P1;221;171.6;66.1
Q6;Control;P1;412;165.8;83.4
Q6;Control;P1;429;219.6;46.2
Q6;Control;P1;286;142.8;93.3
Q7;Cultivated;P1;157;117.2;40.7
Q7;Cultivated;P1;109;72.3;28.5
Q7;Cultivated;P1;235;183.9;65.2
Q8;Control;P1;276;136.3;51.5
Q8;Control;P1;187;109.8;26
Q8;Control;P1;183;153.8;46.6
Q1;Cultivated;P2;436;231.1;95.1
Q1;Cultivated;P2;434;257;115.6
Q1;Cultivated;P2;422;156.1;55.2
Q2;Control;P2;337;177.1;88
Q2;Control;P2;358;171.1;52.7
Q2;Control;P2;224;126.3;45
Q3;Cultivated;P2;797;308.7;89.5
Q3;Cultivated;P2;445;254;87.1
Q3;Cultivated;P2;364;121.6;75.4
Q4;Control;P2;469;125.7;49
Q4;Control;P2;334;112;35.6
Q4;Control;P2;422;129.6;65.8
Q5;Cultivated;P2;378;115.1;43.4
Q5;Cultivated;P2;339;131.3;50.4
Q5;Cultivated;P2;291;213.2;119.7
Q6;Control;P2;188;67.8;44
Q6;Control;P2;328;198.9;66.8
Q6;Control;P2;146;36.8;24.6
Q7;Cultivated;P2;449;220.4;78.1
Q7;Cultivated;P2;180;114.8;19.4
Q7;Cultivated;P2;470;417.5;72.1
Q8;Control;P2;147;43.2;17
Q8;Control;P2;270;53;21.4
Q8;Control;P2;81;276.6;48.4
Q1;Cultivated;P3;296;172.1;42.5
Q1;Cultivated;P3;404;215.8;62
Q1;Cultivated;P3;152;86.6;61.2
Q2;Control;P3;342;101.2;39
Q2;Control;P3;416;115.7;30.6
Q2;Control;P3;432;152.4;35.8
Q3;Cultivated;P3;185;234.2;149.8
Q3;Cultivated;P3;174;180.4;102
Q3;Cultivated;P3;284;231.1;131.4
Q4;Control;P3;270;95.2;15.2
Q4;Control;P3;328;88;28.4
Q4;Control;P3;480;101.3;40.3
Q5;Cultivated;P3;96;108.6;107.4
Q5;Cultivated;P3;140;150.5;48
Q5;Cultivated;P3;176;312.8;280.8
Q6;Control;P3;184;57.2;18.6
Q6;Control;P3;164;70.6;18.6
Q6;Control;P3;124;24.4;21.2
Q7;Cultivated;P3;154;167.2;154.6
Q7;Cultivated;P3;276;129.1;78.5
Q7;Cultivated;P3;194;92.9;64.8
Q8;Control;P3;308;66.2;39.6
Q8;Control;P3;204;96;33
Q8;Control;P3;246;102.2;24.2
