BirdID;Period;TimeSpent;Treatment
1;3;300;Cult
1;3;0;Cont
2;3;258;Cult
2;3;16;Cont
3;3;188;Cult
3;3;114;Cont
4;3;300;Cult
4;3;0;Cont
6;3;90;Cult
6;3;202;Cont
7;3;287;Cult
7;3;22;Cont
8;3;153;Cult
8;3;147;Cont
9;3;206;Cult
9;3;16;Cont
10;3;213;Cult
10;3;82;Cont
11;3;243;Cult
11;3;57;Cont
12;3;249;Cult
12;3;51;Cont
13;3;215;Cult
13;3;85;Cont
14;3;300;Cult
14;3;0;Cont
15;3;300;Cult
15;3;0;Cont
16;3;300;Cult
16;3;0;Cont
17;3;248;Cult
17;3;52;Cont
18;3;300;Cult
18;3;0;Cont
19;3;0;Cult
19;3;200;Cont
20;3;0;Cult
20;3;240;Cont
21;3;197;Cult
21;3;95;Cont
22;3;191;Cult
22;3;109;Cont
23;2;125;Cult
23;2;120;Cont
24;2;244;Cult
24;2;0;Cont
25;2;272;Cult
25;2;28;Cont
26;2;300;Cult
26;2;0;Cont
27;2;300;Cult
27;2;0;Cont
28;2;226;Cult
28;2;0;Cont
29;2;300;Cult
29;2;0;Cont
30;2;300;Cult
30;2;0;Cont
31;2;213;Cult
31;2;87;Cont
32;2;279;Cult
32;2;21;Cont
33;2;183;Cult
33;2;0;Cont
34;2;300;Cult
34;2;0;Cont
35;2;246;Cult
35;2;0;Cont
36;2;293;Cult
36;2;7;Cont
37;2;0;Cult
37;2;300;Cont
38;2;185;Cult
38;2;6;Cont
